name, release date
1.0.0-incubating,2012-08-06
1.0.1-incubating,2012-08-29
1.0.2-incubating,2012-10-02
1.0.3-incubating,2012-09-30
1.0.4,2012-12-10
1.0.5,2013-01-23
1.0.6,2013-02-27
1.0.7,2013-03-26
1.0.8,2013-04-18
1.0.9,2014-04-11
1.1.0,2013-04-05
1.1.1,2013-04-29
1.1.2,2013-06-11
1.1.3,2013-07-12
1.1.4,2013-09-27
1.1.5,2013-11-28
1.1.6,2014-02-22
1.1.7,2014-04-11
1.1.8,2014-07-03
1.2.0-M1,2014-09-08
1.2.0,2014-10-03
1.2.1,2014-11-17
1.2.2,2015-01-30
1.2.3,2015-03-20
1.2.4,2015-05-05
1.2.5,2015-07-28
1.2.6,2015-11-05
1.2.7,2016-01-15
1.2.8,2016-06-03
1.2.9,2016-10-07
1.2.10,2017-01-24
1.2.11,2018-03-13
2.0.0-M1,2015-12-23
2.0.0-M2,2016-03-21
2.0.0-M3,2016-06-03
2.0.0-M4,2016-06-24
2.0.0.M5,2016-09-02
2.0.0,2016-09-09
2.0.1,2016-10-21
2.0.2,2017-01-27
2.0.3,2017-04-15
2.0.4,2017-07-03
2.0.5,2017-09-06
2.0.6,2017-10-09
2.0.7,2017-12-22
2.0.8,2018-03-13
2.0.9,2018-06-28
2.0.10,2018-08-17
2.0.11,2018-11-02
2.0.12,2019-01-17
2.0.13,2019-04-19
2.0.14,2019-09-12
2.0.15,2020-04-29
2.0.16,2020-09-11
2.1.0,2018-07-05
2.1.1,2018-08-17
2.1.2,2018-11-02
2.1.3,2019-01-17
2.1.4,2019-04-19
2.1.5,2019-09-12
2.1.6,2020-04-29
2.1.7,2020-09-11
2.1.8,2020-12-18
2.1.9,2021-04-07
2.1.10,2021-10-08
2.1.11,2022-03-18